[2018-06-14 12:43:13,660] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,668] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,680] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,694] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,710] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,719] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,730] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,752] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,779] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,786] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,798] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,808] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,819] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,834] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,884] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,895] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,911] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,932] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,955] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,963] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,973] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,988] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,996] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:14,079] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:14,096] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:14,111] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:14,118] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:14,126] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:14,137] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:14,148] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:14,173] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:14,181] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
